"usage","impact","marks_range","hours_per_week","benefit","challenging","grade_improvement","ip","user_agent","referrer","created_at"
"Rarely","3","40-59","0-2 hours","2","3","0-19%","197.184.177.83","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","https://airgroup.netlify.app/survey.html","2024-07-04T09:50:19.656Z"
"Monthly","3","60-79","9-11 hours","4","2","40-59%","197.184.177.83","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","https://airgroup.netlify.app/survey.html","2024-07-04T09:49:18.055Z"
"Monthly","5","80-100","12 or more hours","5","1","60-79%","197.184.177.83","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","https://airgroup.netlify.app/survey.html","2024-07-04T09:48:43.583Z"
"Monthly","3","60-79","9-11 hours","4","2","20-39%","197.184.177.83","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","https://airgroup.netlify.app/survey.html","2024-07-04T09:48:05.503Z"
"Weekly","3","40-59","0-2 hours","2","3","0-19%","197.184.177.83","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","https://airgroup.netlify.app/survey.html","2024-07-04T09:47:24.857Z"
"Weekly","3","40-59","3-5 hours","3","3","20-39%","197.184.177.83","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","https://airgroup.netlify.app/survey.html","2024-07-04T09:46:37.662Z"
"Weekly","3","40-59","0-2 hours","2","3","20-39%","197.184.177.83","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","https://airgroup.netlify.app/survey.html","2024-07-04T09:45:43.576Z"
"Weekly","4","60-79","9-11 hours","5","2","60-79%","197.184.177.83","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","https://airgroup.netlify.app/survey.html","2024-07-04T09:45:12.050Z"
"Weekly","5","80-100","12 or more hours","5","1","40-59%","197.184.177.83","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","https://airgroup.netlify.app/survey.html","2024-07-04T09:44:37.728Z"
"Daily","3","60-79","3-5 hours","4","2","40-59%","197.184.177.83","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","https://airgroup.netlify.app/survey.html","2024-07-04T09:43:42.696Z"
"Daily","3","60-79","3-5 hours","4","3","40-59%","197.184.177.83","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","https://airgroup.netlify.app/survey.html","2024-07-04T09:43:00.853Z"
"Daily","4","60-79","3-5 hours","3","3","20-39%","197.184.177.83","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","https://airgroup.netlify.app/survey.html","2024-07-04T09:42:26.131Z"
"Daily","5","60-79","9-11 hours","4","3","40-59%","197.184.177.83","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","https://airgroup.netlify.app/survey.html","2024-07-04T09:41:31.966Z"
"Daily","5","80-100","12 or more hours","5","2","20-39%","197.184.177.83","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","https://airgroup.netlify.app/survey.html","2024-07-04T09:40:54.606Z"
"Daily","5","80-100","6-8 hours","5","3","80-100%","197.184.177.83","Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1","https://airgroup.netlify.app/survey.html","2024-07-03T19:57:36.162Z"
